civilian_casualties,ward,year
0,1,2018
0,18,2018
0,21,2018
0,5,2018
0,8,2018
0,25,2018
0,19,2018
0,24,2018
0,10,2018
0,4,2018
0,20,2018
0,13,2018
0,19,2018
0,8,2018
0,5,2018
0,22,2018
0,20,2018
0,17,2018
0,8,2018
0,19,2018
0,5,2018
0,7,2018
0,16,2018
0,1,2018
0,1,2018
0,3,2018
0,10,2018
0,1,2018
0,13,2018
0,13,2018
0,13,2018
0,12,2018
0,11,2018
0,6,2018
0,6,2018
0,6,2018
0,9,2018
0,2,2018
0,9,2018
0,11,2018
0,5,2018
0,4,2018
0,17,2018
0,20,2018
0,2,2018
0,19,2018
0,6,2018
0,1,2018
0,12,2018
0,2,2018
0,25,2018
0,3,2018
0,4,2018
0,16,2018
0,18,2018
0,6,2018
0,4,2018
0,19,2018
0,14,2018
0,25,2018
0,25,2018
0,8,2018
0,2,2018
0,21,2018
0,12,2018
0,11,2018
0,12,2018
0,12,2018
0,16,2018
0,6,2018
0,11,2018
0,6,2018
0,6,2018
0,16,2018
0,24,2018
0,4,2018
0,14,2018
0,11,2018
0,22,2018
0,7,2018
0,13,2018
1,13,2018
0,3,2018
0,8,2018
0,8,2018
0,13,2018
0,1,2018
0,6,2018
0,7,2018
0,13,2018
0,13,2018
0,5,2018
0,12,2018
0,10,2018
0,5,2018
0,9,2018
0,5,2018
0,21,2018
1,24,2018
0,22,2018
1,25,2018
0,9,2018
2,12,2018
0,21,2018
0,15,2018
0,18,2018
0,19,2018
0,9,2018
0,2,2018
0,4,2018
0,8,2018
0,1,2018
0,1,2018
0,13,2018
0,5,2018
0,10,2018
0,7,2018
0,2,2018
0,4,2018
0,6,2018
0,17,2018
0,7,2018
0,23,2018
0,11,2018
0,7,2018
0,11,2018
0,8,2018
0,13,2018
0,21,2018
0,9,2018
0,20,2018
0,24,2018
0,2,2018
0,1,2018
0,14,2018
0,3,2018
0,22,2018
0,7,2018
0,10,2018
0,4,2018
0,3,2018
0,14,2018
0,1,2018
0,20,2018
0,3,2018
0,5,2018
0,25,2018
0,14,2018
0,12,2018
0,10,2018
1,4,2018
0,9,2018
0,7,2018
0,1,2018
0,10,2018
0,18,2018
0,1,2018
0,14,2018
0,17,2018
0,5,2018
0,3,2018
0,16,2018
0,7,2018
0,18,2018
0,1,2018
0,24,2018
0,21,2018
0,25,2018
0,12,2018
0,6,2018
0,4,2018
0,5,2018
2,8,2018
0,13,2018
1,18,2018
0,1,2018
0,1,2018
0,6,2018
0,1,2018
0,1,2018
0,16,2018
0,19,2018
0,10,2018
0,7,2018
0,7,2018
0,1,2018
0,24,2018
0,3,2018
0,18,2018
0,2,2019
0,13,2018
0,13,2018
1,23,2018
0,13,2018
0,1,2018
0,25,2018
0,9,2018
1,15,2018
0,23,2018
0,7,2018
0,3,2018
0,13,2018
0,9,2018
0,13,2018
0,7,2018
0,9,2018
0,24,2018
0,7,2018
1,24,2018
0,16,2018
0,12,2018
0,0,2018
0,6,2018
0,9,2018
0,0,2018
0,20,2018
0,4,2018
0,10,2018
0,11,2018
0,20,2018
0,4,2018
0,10,2018
0,7,2018
0,5,2018
0,20,2018
0,21,2018
0,7,2018
0,4,2018
2,4,2018
0,10,2018
4,18,2018
0,22,2018
0,8,2018
0,12,2018
0,11,2018
0,13,2018
0,6,2018
0,5,2018
0,5,2018
0,11,2018
1,20,2018
0,2,2018
0,16,2018
0,13,2018
0,13,2018
0,7,2019
0,21,2019
0,18,2018
0,9,2018
0,17,2018
0,13,2018
0,5,2018
0,1,2018
0,2,2018
1,13,2018
0,13,2018
0,9,2018
0,6,2018
0,13,2018
0,16,2018
0,10,2018
0,21,2018
0,6,2018
0,4,2018
0,20,2018
0,21,2018
0,16,2018
0,11,2018
0,11,2018
0,12,2018
0,20,2018
0,4,2018
0,5,2018
0,7,2018
0,7,2018
0,10,2018
0,1,2018
0,7,2018
0,2,2020
0,2,2020
0,14,2020
0,11,2018
0,6,2018
0,25,2018
0,17,2018
0,24,2018
0,14,2018
0,7,2018
0,1,2018
0,5,2018
0,15,2018
0,4,2019
0,6,2018
0,8,2018
0,12,2018
0,18,2018
0,14,2018
0,20,2018
0,1,2018
0,12,2018
0,11,2018
0,5,2018
0,1,2018
0,5,2018
0,24,2018
0,2,2018
0,9,2018
0,3,2018
0,10,2018
0,3,2018
0,13,2018
0,11,2018
0,9,2018
0,9,2018
0,20,2018
0,14,2018
0,4,2018
0,14,2018
0,15,2018
0,18,2018
1,7,2018
1,7,2018
0,14,2018
0,13,2018
0,18,2018
0,15,2018
1,24,2018
0,21,2018
0,21,2018
0,17,2018
0,11,2018
1,4,2018
0,11,2018
0,22,2018
0,5,2018
0,7,2018
0,14,2018
0,18,2018
0,13,2018
0,6,2018
1,20,2018
0,10,2018
0,18,2018
0,25,2018
0,7,2018
0,14,2018
0,8,2018
0,20,2018
0,20,2018
0,1,2018
0,13,2018
0,17,2018
0,12,2018
0,9,2018
0,2,2018
0,13,2018
0,2,2018
0,3,2018
0,8,2018
